Вопрос;Ответ1;Ответ2;Ответ3;Правилные ответы
Что такое python?;Язык разметки;Машинный код;Язык програмирования;Язык програмирования
Какая библиотека отвечает за время?;Localtime;time;Time;time
Какая функция выводить что-либо?;print();log();write();print()
Как получить данные от пользователя?;Использовать метод input();Использовать метод print();Использовать метод read ();Использовать метод input()
Как добавить коментарий?;//;#;\\;#
Как правильно писать функцию?;def ();Def():;def function():;def function():
Какая функция вычисляет длину списка?;Len();len();append();len()
Какой метод добавляет что либо в список?;append();remove();len();append()
Какой метод удаляет что либо из списка;pop();remove();count();remove()
Какой метод разворачивает список?;clear();reverse();clear();reverse()
Как можно развернуть список не используя reverse()?;[::-1];"[;;-1]";[-1::];[::-1]
К какой категории относится язык програмирования python?;Процедурный;Объектно-ориентированный язык;Структурный;Объектно-ориентированный язык
В каком году был создан python?;в 1995 году;август 1994 года;январь 1994 года;январь 1994 года
Кто был создателем языка програмиррования python?;Гвидо ван Россум;Джеймс Гослинг;Бьёрн Страуструп;Гвидо ван Россум
Сколько библиотек можно импортировать в один проект?;Не более 10;Не более 23;Неограниченное количество;Неограниченное количество
Что такое if?;Условный оператор;Цикл;Функция;Условный оператор
Что такое for?;Условный опреатор;Цикл;Функция;Цикл
Что такое def function():;Условный опреатор;Цикл;Функция;Функция
Какой модуль используется для генерации случайного значения?;random;datetime;dice;random
Какой оператор возврощяет остаток?;$;&;%;%
